qid;pageid;title;question;current_time;outdated_info_dates;answer;outdated_answer
155;64466246;Giannis Christopoulos (footballer, born 2000);Which Super League club does Giannis Christopoulos play for as a centre-back?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;OFI Crete;Asteras Tripolis
156;5812446;Uthangarai;What is the name of the industrial institute located in Uttankarai?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;SIPCOT Industrial Institute;Chipkat Industrial Institute
157;48738401;Leitrim Junior Football Championship;Who were the Junior A Champions of Leitrim?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Bornacoola;Mohill
158;8315045;Eisenhower High School (Houston);How many students attended Eisenhower High School?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;2,855;2,146
159;8837786;Dai Bradley;"In what year was the film ""Kes"" released, in which David ""Dai"" Bradley played the role of Billy Casper?";2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1968;1969
160;12906230;Indian Institute of Petroleum;Who is the Director of the Indian Institute of Petroleum?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Dr. Harender Singh Bisht;Dr. Anjan Ray
161;63640620;Field hockey in the Netherlands;How many world championships has the women's team won?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;9;8
162;121201;Voorschoten;What cities enclose the town of Voorschoten in the Randstad?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Leiden, Wassenaar, and Leidschendam-Voorburg;Leiden, Wassenaar, and The Hague
163;67675778;Good 4 U;"How many billion streams does ""Good 4 U"" have on Spotify?";2024-12-01T00:00:00Z;"2024-10-01T00:00:00Z;2024-11-01T00:00:00Z";2.3 billion;"2 billion;2.28 billion"
164;31321132;Russell Vale, New South Wales;What was the population of Russell Vale and its percentage increase from the previous population of 1,233?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1,593, an increase of 29.2%;1,547, an increase of 25%
165;76923928;UEFA European Championship top goalscorers;How many goals have been scored in games at the men's final tournaments of the UEFA European Championship, not counting penalties scored during shoot-outs?;2024-08-01T00:00:00Z;"2024-06-01T00:00:00Z;2024-07-01T00:00:00Z";946;"829;910"
166;58995383;7 Rings;"How many streams has the song ""7 Rings"" exceeded on Spotify?";2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2 billion;1.9 billion
167;35522422;Cozi TV;What decades does Cozi TV's classic television series originate from?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;1950s to 2000s;1960s to 2000s
168;12450733;Efraín Juárez;What is Efraín Juárez Valdez's current profession?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;A football manager and the head coach of Atlético Nacional.;A former professional footballer.
169;1733468;Genographic Project;How many participants had joined the Genographic Project upon its retirement?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1,006,543;1,006,542
170;901512;Seymour, Victoria;What community and service groups are hosted in Seymour, specifically the ones mentioned alongside Freemasonry, Rotary, the Lions Club, Scouting, and Probus?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Returned and Services League of Australia;Apex Clubs of Australia
171;37433480;Subir Nandi;What was Subir Nandi's birthdate?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;30 November 1953;19 November 1953
172;382889;Juan Carlos Ferrero;How many major titles have Juan Carlos Ferrero and Carlos Alcaraz won together on the ATP Tour?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Four major titles;Three major titles
173;43483684;North Korea women's national under-20 football team;What AFC tournament does the North Korea women's national under-20 football team participate in?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;AFC U-20 Women's Asian Cup;AFC U-19 Women's Championship
174;16245584;Racing Club Albi XIII;What is the highest level of competition in France that Racing Club Albi XIII competes in?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Super XIII;Elite One Championship
175;36855108;Graham Burke;What was the number of Graham Burke's goal in the Hoops when he scored in a UEFA Champions League qualifier against Breiðablik?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;8;7
176;5941728;Jiangxia, Wuhan;What is the population of Jiangxia district?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1,308,469;680,000
177;3584747;Anthony Henday Drive;How many vehicles per day does Henday carry at its busiest point near West Edmonton Mall?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;105,000;95,000
178;25983942;Charles Calvert (governor);What wars did Calvert serve in?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;The War of the Spanish Succession;England's wars against France and Spain
179;53742105;DaVita;What percentage of the company's patients were covered by government-based health insurance programs?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;89%;90%
180;1801222;Glasgow South West (UK Parliament constituency);What party affiliation did Matt Kerr have when he ran against Chris Stephens of the SNP?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Labour Co-op;Labour Party
181;74728087;Heddon Bush;What years does Heddon Bush School cater to?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Years 1 to 8;Years 1 to 6
182;71257726;Summer of Soul (soundtrack);How many critics did Metacritic base its score of 94 out of 100 on?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;4;5
183;72615409;Suksan Bunta;Which Thai football league does Suksan Bunta play in?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Thai League 2;Thai League 1
184;1026030;Mirpur Khas;What percentage of the population spoke Urdu and Sindhi as their first language?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;20.66% Urdu, 59.31% Sindhi;59.31% Urdu, 20.66% Sindhi
185;23364;Demographics of Pakistan;How many people are housed in the cities of Faisalabad, Rawalpindi, Gujranwala, Peshawar, Multan, Hyderabad, and Islamabad altogether?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Nearly 19 million;Nearly 14 million
186;20783674;Kejsi Tola;What is Kejsi Tola's birthdate?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;3 May 1992;5 February 1992
187;64350082;Pershing Drive–Arlington Boulevard Line;What is the terminal destination of the Pershing Drive–Arlington Boulevard Line?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Rosslyn station;Ballston–MU station
188;556655;Bankstown;What are the median weekly household and family incomes in Bankstown?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;$1,531 and $2,436;$1,331 and $1,436
189;19590016;Walking on a Dream (album);What certification has the album Walking on a Dream received in Australia?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Triple platinum;Double platinum
190;40675178;Alexander Tsiaras;"In what year did Alexander Tsiaras co-author his first book, ""Death Rituals of Rural Greece""?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;1982;1972
191;17671802;Orphan (2009 film);"What is the approval rating of the film ""Orphan"" on Rotten Tomatoes?";2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;59%;58%
192;54650955;1952 United States presidential election in South Carolina;What percentage of the total presidential vote did the Republican presidential candidate never obtain more than?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;9 percent;7 percent
193;19178557;Alpha Reticuli;How many times the radius of the Sun has the surface of Alpha Reticuli expanded to at its current evolutionary stage?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;12;almost 12
194;73016112;Dan Basambombo;What team does Dan Basambombo play for?;2024-11-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";Ottawa Redblacks;"No team (free agent);Calgary Stampeders"
195;112957;Perry, Iowa;How many jobs were laid off due to the closing of the Tyson facility?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1,300;1,200
196;224947;Jim Bridger;What type of men was Jim Bridger among the first to explore the natural wonders of the Yellowstone region?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Caucasian men;European men
197;23906306;List of NFL rivalries;What is the series record between the Houston Texans and the Tennessee Titans?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;24–21;23–21
198;72440719;Lori Palmeri;What number mayor of Oshkosh, Wisconsin, did Lori Palmeri previously serve as?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;67th;49th
199;25468117;Jingle Bell Ball;Who will make the lineup announcements on Capital Breakfast?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Jordan, Chris, and Sian;Jordan, Chris, and Kemi
200;18701324;Almog Cohen (footballer);Which Israeli Premier League side does Almog Cohen work for as sporting director?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Beitar Jerusalem;Maccabi Netanya
201;73863329;Youssouf Diarra;Which club does Youssouf Diarra play for as a midfielder?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;CD Tenerife;Córdoba
202;300827;Stockport;How many parliamentary constituencies are in the Stockport Metropolitan Borough?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;4;3
203;37026416;Chancel Mbemba;How many caps has Chancel Mbemba earned for DR Congo?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;90;Over 80
204;63008228;Ministry of Endowment and Religious Affairs (Somaliland);Who is the current minister of the Ministry of Endowment and Religious Affairs in Somaliland?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Sh Mohamed Haji Adam Ilmi;Sh.Cabdirisaaq Xuseen Albaani
205;42504895;João Camacho;Which club does João Pedro Gomes Camacho play for as a right winger?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Fatih Karagümrük;Moreirense
206;15954820;Mangawhai Heads;What is the median income in Mangawhai Heads compared to the national median income?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;$34,400 ($41,500 nationally);$27,300 ($31,800 nationally)
207;27660895;List of Drag Race contestants;How many contestants have appeared across the international editions of the show?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;441;395
208;185138;Middle Shabelle;How many districts does Middle Shabelle Region consist of?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;11;7
209;66300354;Kristjan Matošević;Which Italian club does Kristjan Matošević play for as a goalkeeper?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Juve Stabia;Triestina
210;67548266;Rasir Bolton;Which team does Rasir Zias Bolton play for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;KK Spartak Subotica;Telenet Giants Antwerp
211;46601583;Jay Hughes (American football);What is Jay Khalil Hughes' current status in American football?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;A former player;A free agent
212;1267893;Roselle Park High School;What is the student enrollment range for schools classified as Group I North for football?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;254 to 474 students;184 to 471 students
213;4289802;Sir Salimullah Medical College;How many seats are allocated for the MBBS course in Sir Salimullah Medical College?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;250;230
214;72395013;2023 Green Bay Packers season;What year was the Packers' last playoff win without Brett Favre or Aaron Rodgers before their 2023 Wild Card round victory?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;2003;2007
215;19835614;Venezuelans;What percentage of the population in Venezuela self-identify as 'blanco' (white)?;2024-10-01T00:00:00Z;"2024-08-01T00:00:00Z;2024-09-01T00:00:00Z";43.6%;"43.6%;13.6%"
216;378433;Child benefit;What is the monthly amount of the direct payment for parents in Poland, in euros, per child?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;€187;€189
217;2527048;Isotopes of iron;How many known radioactive isotopes of iron exist?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;28;24
218;18436565;Viacom18;In which state or country is Viacom18 Media Private Limited based?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Maharashtra;India
219;26284103;Civil Nuclear Police Authority;Who appoints the members of the Civil Nuclear Police Authority?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;The Secretary of State for Energy Security and Net Zero;The Secretary of State for Energy and Climate Change
220;8816905;John Shea (mobster);On which movie set did Alec Baldwin accidentally fracture John Shea's thumb during a game of football?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Invincible;The Departed
221;63786801;AFL Women's games records;What is the minimum number of games a player must have played at AFLW level to be included in the list of players?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;75;60
222;54046513;Claws (TV series);"What is the approval rating of the series ""Claws"" on Rotten Tomatoes?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;82%;81%
223;66495561;Libby Bance;Which club does Libby Bance play for?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Brighton & Hove Albion;Rangers
224;53619395;Austrophya;What family or superfamily is the Austrophya genus of dragonflies in?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Libelluloidea;Austrocorduliidae
225;48623982;Dermatology Life Quality Index;How many languages has the Dermatology Life Quality Index been translated into?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Over 140 languages;Over 115 languages
226;136288;Leona, Texas;What is the population of Leona, Texas?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;151;175
227;47023424;Harriet Dart;What is Harriet Dart's career-high doubles ranking?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;67;91
228;74657277;Andrea Hernández (footballer);Which Liga MX Femenil side does Andrea Hernández Buenosaires play for as a midfielder?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Tigres UANL;Juárez
229;7149337;Hanover Park High School;What is the enrollment range for schools classified as Group II North for football?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;484 to 683 students;478 to 672 students
230;58091731;Monique Billings;Which WNBA team does Monique Charice Billings play for?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Phoenix Mercury;Dallas Wings
231;32519030;Lyrical Law;Who recorded the third and final disc titled Lyrical Warfare?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Fools and Great Geriatric Old Tricks (F.A.G.G.O.T.);The Heralds of Extreme Metaphors (T.H.E.M.)
232;27382253;Radha Mohan Singh;What term is Radha Mohan Singh representing Purvi Champaran constituency in Bihar state for?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;7th term;6th term
233;37495838;Benedictine Abbey of Pietersburg;How many monks were in solemn monastic profession at St. Benedict's Abbey, Polokwane?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;9;8
234;562798;Defence Forces (Ireland);How many permanent personnel were in the Defence Forces?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;7,550;7,764
235;250719;Internet in China;How many people in China use the internet?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;1.09 billion;1.05 billion
236;63618251;Stephan Mensah;What Regionalliga club does Stephan Mensah play for?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Kickers Offenbach;Chemnitzer FC
237;10081761;Tikipunga;What percentage of the population is aged under 15 years?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;21.5%;24.1%
238;76361432;American Riviera Orchard;In which city in California does Meghan and her husband Prince Harry, Duke of Sussex reside, from which the name American Riviera Orchard is derived?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Santa Barbara;Santa Monica
239;859278;GM Ecotec engine;What is the lower displacement limit of the GM Ecotec engine family?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;1.2 litres;1.4 litres
240;74021228;Ty Adcock;What team is Tyler Nathan McKenzie Adcock a pitcher for?;2024-09-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";New York Mets;"New York Mets;No team (free agent)"
241;37283236;Ethnic groups in Baltimore;What year were immigrants from El Salvador the fourth largest foreign-born population in Baltimore?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;2011;2014
242;5733299;Association of Management, Administrative and Professional Crown Employees of Ontario;How many professional and supervisory public servants does AMAPCEO represent?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Over 16,500;Over 14,000
243;2652380;Soudal Quick-Step;How many consecutive Tour de France events has the team won stages in?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;12;11
244;17418170;7 Things;"What certifications did the single ""7 Things"" receive from the Australian Recording Industry Association (ARIA) and the Recording Industry Association of America (RIAA)?";2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Double platinum by both ARIA and RIAA;Gold by ARIA and double platinum by RIAA
245;21634175;International School of Qingdao;How many countries were represented at the International School of Qingdao?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Twenty-three;Twenty
246;1362692;Lower West Side, Chicago;What is the status of Il Vicinato restaurant on Western Avenue?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Closed;Open
247;732656;Spironolactone;What was the ranking of spironolactone among the most commonly prescribed medications in the United States?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;52nd;54th
248;1943697;Hossam Hassan;How many goals has Hossam Hassan scored in his appearances for Egypt?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;69;68
249;7662580;Khancoban;What mountain range is Khancoban located west of?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;The Great Divide;The Snowy Mountains
250;58966312;Almighty (rapper);What is the last name of the person who was raised in Habana, Cuba?;2024-10-01T00:00:00Z;2024-08-01T00:00:00Z;Mosqueda;Paz
251;6643270;Simon Heslop;Which club does Simon James Heslop play for as a midfielder?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Bridlington Town;Scarborough Athletic
252;87200;William Perry (American football);What is the size of William Perry's largest Super Bowl ring?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;23;25
253;38996332;List of Rocket Monkeys episodes;How many episodes are labeled as the second season in the Teletoon broadcasting order?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;14;13
254;4827727;Han Duck-soo;What prime minister position did Han Duck-soo previously hold under President Roh Moo-hyun?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;38th Prime Minister;34th Prime Minister
255;10278349;Lomax Township, Henderson County, Illinois;What percentage of Lomax Township's total area is water?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;13.74%;13.58%
256;19479755;Linn Laupsa;Which party does Linn Laupsa belong to?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Socialist Left Party;Labour Party
257;1845521;Weekly Young Jump;"How many manga titles are being regularly serialized in ""Weekly Young Jump""?";2024-12-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";21;"23;22"
258;10453631;Tremarctinae;"What year was the study that suggested the mean divergence dates for ""Arctotherium"", ""Arctodus"" and ""Tremarctos"" were 4.8 Ma, and between ""Arctotherium"" and ""Tremarctos"" at 4.1 Ma?";2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2016;2008
259;68803319;The Super Mario Bros. Movie;What is the ranking of The Super Mario Bros. Movie among the highest-grossing animated films?;2024-10-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";Third-highest-grossing animated film;"Third-highest-grossing animated film;Fourth-highest-grossing animated film"
260;62251833;Laura Nolan;In what year did Laura Nolan first compete in the All Ireland Championships with her first partner, Luca Mastropietro?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;2006;1999
261;76163220;Melvyn Escueta;What was the birth year of Abelardo Escueta?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;1919;1920
262;838743;Vidhu Vinod Chopra;How many Filmfare Awards has Vidhu Vinod Chopra received?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;eleven;ten
263;57301493;Glenostictia pictifrons;What family does the sand wasp species Glenostictia pictifrons belong to?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Bembicidae;Crabronidae
264;36589465;Anna Petrakova;What is Anna Viktorovna Petrakova-Parker's status as a basketball player?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Former basketball player;Professional basketball player
265;59852507;Doug DeMuro;How many subscribers does Doug DeMuro's car review-focused YouTube channel have?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;4.88 million;4.84 million
266;15209059;Daniel Hecht;How many novels has Daniel Hecht written?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;8;7
267;47422;Monster group;What is the dimension of the Griess algebra used by Griess to construct the monster group M?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;196,883;196,884
268;2481487;Loralai District;What percentage of the population spoke Saraiki as their first language?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;0.97%;1.68%
269;71669986;Am I Actually the Strongest?;"How many ""tankōbon"" volumes of the manga's individual chapters have been collected?";2024-12-01T00:00:00Z;"2024-07-01T00:00:00Z;2024-08-01T00:00:00Z";14;"12;13"
270;41000913;Appalachian temperate rainforest;What location has three times more adult trees than in the 1980s, indicating signs of recovery in the Appalachian temperate rainforest?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Kuwohi;Clingmans Dome
271;72724508;Tokyo 27th district;In what year will the Tokyo 27th district elect its first representative?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;2024;2025
272;77944960;Panote Sirivadhanabhakdi;Who was named CEO of Frasers?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Panote;Sirivadhanabhakdi
273;28418256;List of UFC events;How many UFC events have been held in total?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;696;692
274;28000904;Long Beach Symphony Orchestra;Where does the Long Beach Symphony Orchestra give concerts?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Long Beach Convention and Entertainment Center;Long Beach Performing Arts Center
275;42961033;Cherian;What is the geographical origin of the Syrian Christian surname Cherian/Cheriyan?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Semitic;West Asian
276;1901697;Meadow Lane;What is the all-seated capacity of Meadow Lane for EFL games?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;19,841;18,816
277;63742745;Sandro La Vignera;How many publications in indexed journals on Pubmed has Sandro La Vignera authored?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Over 420;Over 300
278;180200;1912 Summer Olympics;Which country's hosting of the 1908 Games did Pierre de Coubertin not want to see repeated?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Great Britain;Italy
279;74982;Harold Shipman;How many victims is Harold Shipman estimated to have had?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;284;250
280;75408790;Braiden Graham;Which football team does Braiden Graham play for as a forward?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Everton;Linfield
281;27261459;Bianna Golodryga;Where was Bianna Vitalievna Golodryga born?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;The Soviet Union;Moldova
282;39778426;Sudra (headdress);Where did ancient scholars who championed definitions of the obscure term as a sudra originate from?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Mesopotamia;Palestine
283;40109490;Mailbird;What versions of Windows is Mailbird compatible with?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Windows 10 and Windows 11;Windows 7 and all later versions
284;40201915;Outlast;How many copies of the game Outlast have been sold?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;37 million;4 million
285;2602721;Oliver McCall;How many bouts did Oliver McCall have in his professional career?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;76;74
286;1567535;Warracknabeal;How many people resided in Warracknabeal?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;2,359;2,438
287;28206471;1979–80 NCAA Division I men's basketball season;What years did the Eastern College Athletic Conference organize Division I ECAC regional tournaments for its independent basketball members?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;1975 to 1981;1975 to 1982
288;38987408;National Register of Historic Places listings in Kansas City, Missouri;How many properties and districts in the National Register are located in the city of Kansas City?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;342;341
289;55265521;Maaike Boogaard;What type of UCI team does Maaike Boogaard currently ride for?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;UCI Women's WorldTeam;UCI Women's Continental Team
290;2542065;Constitution of New Hampshire;How many times have voters declined to call a constitutional convention?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;18;17
291;3592736;Siege of Constantinople (717–718);How far did the separate Arab army under Ukhaida range before the first Bulgar victory?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;Beroia;Stara Zagora
292;58058192;SNCF TGV M;What is the name of the high-speed train that is promoted as being a fully French design?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Avelia Horizon;TGV M
293;16917270;Jay Hambro;In what year did Jay Hambro win the Rising Star Individual Award in the Platts Global Metals Awards?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;2020;2022
294;36077780;Glenwood, Queensland;What is the population of the locality of Glenwood?;2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;2,137 people;1,535 people
295;3314796;Arrondissement of Lunéville;What is the population of the arrondissement of Lunéville?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;74,722;78,662
296;11586972;Sackville, New South Wales;What is the population of Sackville, and how many of its residents identified as Aboriginal and Torres Strait Islander?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;230, 22;298, thirteen
297;21699277;National Register of Historic Places listings in Ouachita Parish, Louisiana;How many properties and districts are listed on the National Register in the parish?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;33;32
298;65616522;Nicolas Jackson;Where was Nicolas Jackson born?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;The Gambia;Senegal
299;41920668;Take It Easy on Me;"What single number was Glenn Shorrock's version of ""Take It Easy on Me"" released as?";2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;second single;third single
300;76697520;Martina Scuratti;Which team does Martina Scuratti play for in the Italian Serie B?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Bologna Women;Genoa Women
301;54221;Grand Prix motorcycle racing;Who is the current champion in Grand Prix motorcycle racing?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Jorge Martín;Francesco Bagnaia
302;5024116;LATAM Airlines Argentina;What percentage of the domestic market share did Aerolíneas Argentinas hold before the pandemic?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Around 63%;Over 65%
303;50133956;Lamine N'dao;Which Saudi Arabian football team does Mohamed Lamine N'dao play for?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;Abha;Arar
304;29973221;Sigma Alpha Lambda;How many food items have Sigma Alpha Lambda members collected for local food banks?;2024-11-01T00:00:00Z;2024-10-01T00:00:00Z;Over 130,000;Over 120,000
305;9764780;Daken;Who is swarmed over by the zombies?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Akihiro;Daken
306;753474;2002 NBA draft;Which year's draft did ESPN obtain the rights for via its incoming deal?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;2024;2003
307;49197226;Brandon Thomson;Which team is Brandon Terry Thomson currently playing with?;2024-08-01T00:00:00Z;2024-07-01T00:00:00Z;Rovigo Delta;Glasgow Warriors
308;19238378;Nuvve Kavali;"How many days did the film ""Nuvve Kavali"" have a theatrical run?";2024-07-01T00:00:00Z;2024-06-01T00:00:00Z;365 days;200 days
309;324977;Mr. Bungle;"What type of film inspired the Mr. Bungle name that the band members had seen as a segment of ""The Pee-wee Herman Show""?";2024-11-01T00:00:00Z;"2024-09-01T00:00:00Z;2024-10-01T00:00:00Z";A 1950s propaganda film;"A 1950s propaganda film;A 1960 educational film"
310;65638930;Bradley Vliet;Which UAE league club does Bradley Miguel Dirk Vliet play for as a left back?;2024-10-01T00:00:00Z;2024-09-01T00:00:00Z;Dubai City;Arabian Falcons FC
311;63436;Greta Garbo;How many times was Greta Garbo nominated for the Academy Award for Best Actress?;2024-12-01T00:00:00Z;2024-11-01T00:00:00Z;Four;Three
312;5068438;Bryn Mawr School;How many students attend Bryn Mawr School?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;712;784
313;77063489;2024–25 Primera División de El Salvador;Which season does the list of foreign players in the league refer to?;2024-09-01T00:00:00Z;2024-08-01T00:00:00Z;2024–25 season;2023–24 season
